display name,code name,default value,units,description,allowed values
HEPES-Na concentration,HEPES-Na concentration,10,,,
Medium pH,Medium pH,7.4,,,
NaCl,NaCl,145,,,
KCl,KCl,5,,,
Mg concentration,Mg concentration,0.2,,,
Ca concentration,Ca concentration,0.2,,,
