Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
  0.000	  1.000	  0.750	 10.000	-11.732	  7.209	  7.400	 34.000	  1.090	  7.500	105.000	 71.250	  0.001	  2.500	 10.000	140.000	 95.000	  0.000	  0.336	  7.028	 44.597	 19.172	  1.552	  1.552	  2.728	 -6.012	145.505	  5.000	145.800	 -2.609	 -0.030	  1.739	 -0.000	 -0.000	  0.000	  0.000	  0.000	  0.261	 -0.174	 -0.783	  0.000
  0.000	  1.000	  0.750	 10.000	-12.412	  7.209	  7.400	 33.999	  1.090	  7.500	105.000	 71.250	  0.002	  2.500	 10.000	139.994	 94.995	  0.000	  0.336	  7.028	 44.595	 19.170	  1.535	  1.551	  2.728	 -6.013	145.505	  5.000	145.801	 -2.609	 -4.311	  1.739	 -0.024	  0.001	-20.030	-392.154	  4.784	  0.264	 -0.172	 -5.086	  0.000
  0.221	  1.001	  0.751	 10.011	-74.775	  7.223	  7.385	 33.963	  1.090	  7.501	103.970	 70.407	  0.368	  2.596	  9.987	138.423	 93.738	  0.103	  0.356	  7.018	 44.531	 19.113	  1.557	  1.453	  2.723	 -6.153	145.523	  5.115	145.912	 -2.653	 -7.757	  1.769	  0.328	-295.343	-202.721	-76.233	 -1.292	  0.656	-295.589	-303.575	  0.000
  0.618	  0.992	  0.742	  9.917	-74.050	  7.223	  7.386	 34.284	  1.091	  7.503	102.031	 69.147	  0.638	  2.665	 10.116	137.560	 93.226	  0.184	  0.367	  7.107	 45.095	 19.626	  1.565	  1.455	  2.761	 -6.153	145.371	  5.325	145.899	 -2.729	 -7.794	  1.819	  0.244	-290.112	-192.620	 34.478	 -1.448	  0.650	-290.431	-298.484	  0.000
  1.132	  0.979	  0.729	  9.790	-73.186	  7.217	  7.394	 34.729	  1.092	  7.505	 99.575	 67.382	  0.754	  2.737	 10.295	136.592	 92.431	  0.219	  0.375	  7.231	 45.882	 20.358	  1.578	  1.500	  2.815	 -6.093	145.165	  5.590	145.889	 -2.823	 -7.810	  1.882	  0.138	-283.290	-218.159	 33.439	 -1.518	  0.643	-283.702	-291.811	  0.000
  1.699	  0.965	  0.715	  9.645	-72.330	  7.212	  7.400	 35.251	  1.093	  7.506	 96.936	 65.246	  0.802	  2.807	 10.504	135.668	 91.316	  0.233	  0.383	  7.378	 46.812	 21.248	  1.598	  1.541	  2.880	 -6.043	144.932	  5.874	145.892	 -2.922	 -7.821	  1.948	  0.028	-275.422	-231.413	 23.645	 -1.540	  0.635	-275.936	-284.096	  0.000
  2.300	  0.949	  0.699	  9.492	-71.496	  7.208	  7.405	 35.821	  1.095	  7.505	 94.218	 62.911	  0.829	  2.867	 10.735	134.758	 89.981	  0.241	  0.387	  7.539	 47.839	 22.263	  1.621	  1.574	  2.953	 -6.004	144.685	  6.166	145.902	 -3.022	 -7.826	  2.015	 -0.083	-266.957	-233.130	 18.667	 -1.517	  0.628	-267.577	-275.782	  0.000
  2.930	  0.933	  0.683	  9.335	-70.678	  7.205	  7.410	 36.423	  1.096	  7.504	 91.463	 60.485	  0.849	  2.921	 10.979	133.822	 88.497	  0.247	  0.390	  7.713	 48.938	 23.386	  1.649	  1.605	  3.032	 -5.969	144.433	  6.461	145.918	 -3.123	 -7.825	  2.082	 -0.195	-258.142	-228.709	 16.721	 -1.472	  0.621	-258.871	-267.115	  0.000
  3.585	  0.918	  0.668	  9.177	-69.872	  7.201	  7.415	 37.049	  1.098	  7.501	 88.694	 58.026	  0.867	  2.970	 11.234	132.836	 86.905	  0.252	  0.391	  7.895	 50.094	 24.610	  1.679	  1.636	  3.117	 -5.935	144.180	  6.757	145.935	 -3.224	 -7.820	  2.149	 -0.307	-249.100	-221.312	 16.220	 -1.416	  0.614	-249.940	-258.221	  0.000
  4.266	  0.902	  0.652	  9.020	-69.076	  7.198	  7.420	 37.695	  1.100	  7.497	 85.919	 55.564	  0.884	  3.019	 11.499	131.782	 85.224	  0.257	  0.392	  8.085	 51.302	 25.937	  1.713	  1.669	  3.208	 -5.900	143.929	  7.053	145.954	 -3.325	 -7.814	  2.217	 -0.418	-239.888	-212.500	 16.371	 -1.354	  0.607	-240.840	-249.155	  0.000
  4.974	  0.886	  0.636	  8.864	-68.284	  7.194	  7.426	 38.358	  1.102	  7.491	 83.145	 53.113	  0.902	  3.068	 11.772	130.651	 83.460	  0.262	  0.392	  8.283	 52.558	 27.371	  1.749	  1.703	  3.304	 -5.863	143.681	  7.349	145.973	 -3.426	 -7.806	  2.284	 -0.528	-230.523	-203.004	 16.807	 -1.289	  0.601	-231.589	-239.937	  0.000
