Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.0000000000	        1.0000000000	        0.7500000000	       10.0000000000	      -11.7322637767	        7.2092261218	        7.1091203903	       34.0000000000	        1.0900000000	        7.5000000000	      105.0000000000	       71.2500000000	        0.0005800000	        2.5000000000	       10.0000000000	      140.0000000000	       95.0000000000	        0.0001120000	        0.3252580111	        7.0284237726	       44.6071917074	       19.1722808681	        1.5515789474	        1.5515789474	        2.7278208441	       -6.0122612177	      147.2505810241	        5.0000000000	      147.4000000000	       -2.6085000000	       -0.0300000000	        1.7390000000	       -0.0000000000	       -0.0000000000	        0.0000000000	        0.0000000000	        0.0000000000	        0.2608500000	       -0.1739000000	       -0.7825500000	        0.0000000000
        0.0002592163	        0.9999849396	        0.7499849396	        9.9998493957	      -11.7538252351	        7.2090915654	        7.1095775092	       34.0005120624	        1.0900013555	        7.5000001797	      104.9999999753	       71.2560268970	        0.0010547754	        2.4989921490	       10.0002010494	      140.0028113039	       95.0099437168	        0.0002042635	        0.3250431590	        7.0285649102	       44.6080874634	       19.1730896170	        1.5514069151	        0.7952175273	        2.7278811339	       -6.0109156541	      147.2503345979	        4.9999916358	      147.3990836888	       -2.5998417056	       -2.1449300774	        1.7332278038	        0.0416466035	       -0.0058432663	     1392.1357887740	     1639.4975010463	       -3.4781485490	        0.2642329270	       -0.1740171121	       -5.0642012655	        0.0000000000
        0.0931697844	        0.9935994837	        0.7435994837	        9.9359948368	      -22.8226044798	        7.1716619118	        7.1493368074	       34.2190193921	        1.0905797572	        7.5001157219	      102.3512778483	       70.4160291043	        0.1396388552	        2.2781944569	       10.0862304057	      137.6430189836	       94.6961780498	        0.0362294393	        0.2780141732	        7.0889207768	       44.9911471361	       19.5211692721	        1.5564288069	        0.9498934559	        2.7537575728	       -5.6366191176	      147.1458853737	        5.2906403602	      147.3878594175	       -2.6345718915	       -7.2653929223	        1.7563812610	        0.0636158892	    -2363.4137191874	    -1359.4599670313	     1000.7026933059	       -7.5428274562	        0.3225549818	    -2363.6444275281	    -2378.7308282027	        0.0000000000
        0.1728992857	        0.9812915177	        0.7312915177	        9.8129151774	      -22.9571262906	        7.1503887417	        7.1716610536	       34.6482155254	        1.0917158646	        7.5001608759	       99.2411621858	       68.5037559596	        0.2290379909	        2.2270057999	       10.2560479562	      135.7067048885	       93.6750314991	        0.0622226475	        0.2635042338	        7.2082305094	       45.7483684261	       20.2224197687	        1.5735117340	        1.0502007205	        2.8054624144	       -5.4238874168	      146.9447881009	        5.6287297319	      147.3987612421	       -2.6925048091	       -7.1236928880	        1.7950032061	        0.0030449331	    -2315.7435052288	    -1504.3948814564	      711.4564066564	      -10.4395378760	        0.3226846509	    -2316.0602637771	    -2330.8824568091	        0.0000000000
        0.2482298090	        0.9675233975	        0.7175233975	        9.6752339745	      -23.0614833291	        7.1356226487	        7.1870749518	       35.1412690273	        1.0930210062	        7.5001248218	       96.3626557601	       66.5594681077	        0.2960670488	        2.2379202092	       10.4527947777	      134.2989735283	       92.7627842440	        0.0819347755	        0.2604444498	        7.3465448628	       46.6262060575	       21.0575672511	        1.5888840722	        1.1257768224	        2.8663225563	       -5.2762264865	      146.7201689054	        5.9397113133	      147.3893103804	       -2.7528156109	       -7.0669368638	        1.8352104073	       -0.0614500124	    -2270.0304714763	    -1585.9843831338	      541.2851635015	      -11.3303450612	        0.3225673501	    -2270.4257388046	    -2285.1546443063	        0.0000000000
        0.3226104387	        0.9532759322	        0.7032759322	        9.5327593215	      -23.1916969115	        7.1242660311	        7.1988974041	       35.6664831800	        1.0944112790	        7.5000064410	       93.5760396987	       64.5612240232	        0.3498825631	        2.2790281716	       10.6643866201	      133.0573611591	       91.8007016474	        0.0978070123	        0.2627224385	        7.4953764070	       47.5707929863	       21.9832868988	        1.6054128027	        1.1874938606	        2.9329129993	       -5.1626603112	      146.4880999479	        6.2396935235	      147.3780217227	       -2.8170749142	       -7.0528192105	        1.8780499428	       -0.1300361879	    -2225.7412236060	    -1633.1665750152	      432.2262931988	      -11.5949855717	        0.3225622175	    -2226.2159845880	    -2240.9380814780	        0.0000000000
        0.3974132787	        0.9387930898	        0.6887930898	        9.3879308976	      -23.3526470538	        7.1149645052	        7.2085661044	       36.2167131084	        1.0958677700	        7.4997999423	       90.8291552099	       62.5082126906	        0.3945144910	        2.3362795743	       10.8883205331	      131.8671115610	       90.7503481376	        0.1109765384	        0.2676685202	        7.6529772261	       48.5710357405	       22.9946939646	        1.6238943804	        1.2405137979	        3.0046729900	       -5.0696450519	      146.2525828576	        6.5346240215	      147.3689803556	       -2.8842078482	       -7.0599263740	        1.9228052321	       -0.2013401782	    -2180.7956535263	    -1656.9529208894	      359.2431481031	      -11.6113460243	        0.3227080270	    -2181.3522985573	    -2196.1108426695	        0.0000000000
        0.4733734626	        0.9241516068	        0.6741516068	        9.2415160681	      -23.5446267419	        7.1069795170	        7.2168598636	       36.7905003349	        1.0973866185	        7.4994988951	       88.0976427432	       60.4047044421	        0.4323520800	        2.4021375661	       11.1243506939	      130.6792742949	       89.6010687085	        0.1221334401	        0.2738574295	        7.8191875183	       49.6259201082	       24.0967161247	        1.6446563243	        1.2878946722	        3.0817416859	       -4.9897951703	      146.0148811629	        6.8272563831	      147.3629643147	       -2.9530099160	       -7.0764006647	        1.9686732774	       -0.2740750352	    -2134.2739294432	    -1663.6072248202	      308.9325860840	      -11.5038638194	        0.3230098705	    -2134.9148148685	    -2149.7289404316	        0.0000000000
        0.5509660026	        0.9093878720	        0.6593878720	        9.0938787203	      -23.7675583539	        7.0998626000	        7.2242495262	       37.3877869341	        1.0989676713	        7.4990968797	       85.3689197695	       58.2563458818	        0.4650477605	        2.4722474422	       11.3728159066	      129.4669243859	       88.3491316001	        0.1317609499	        0.2804665777	        7.9942596051	       50.7370474944	       25.2975224215	        1.6679273991	        1.3316402886	        3.1644609597	       -4.9186259999	      145.7755968989	        7.1190089540	      147.3599372862	       -3.0225684149	       -7.0956570598	        2.0150456100	       -0.3472957691	    -2085.6840637461	    -1656.9714392916	      273.4457379970	      -11.3190262168	        0.3234688850	    -2086.4112853383	    -2101.2866513221	        0.0000000000
        0.6305474316	        0.8945307729	        0.6445307729	        8.9453077292	      -24.0217430569	        7.0933218045	        7.2310407804	       38.0087538958	        1.1006114074	        7.4985874696	       82.6362896272	       56.0691793028	        0.4938401799	        2.5440484492	       11.6341806857	      128.2115503239	       86.9922456130	        0.1402239436	        0.2870132072	        8.1785355346	       51.9065887718	       26.6067175480	        1.6939405943	        1.3731531449	        3.2532373841	       -4.8532180446	      145.5352069960	        7.4106419474	      147.3596962297	       -3.0922483798	       -7.1141515664	        2.0614989199	       -0.4203429467	    -2034.6904178488	    -1639.4769050667	      247.9770868564	      -11.0766472097	        0.3240880838	    -2035.5058460116	    -2050.4408088116	        0.0000000000
