Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.0000000000	        1.0000000000	        0.7500000000	        0.0001000000	      -11.7322637767	        7.2092261218	        7.4000000000	       34.0000000000	        1.0900000000	        7.5000000000	      105.0000000000	       71.2500000000	        0.0005800000	        2.5000000000	       10.0000000000	      140.0000000000	       95.0000000000	        0.0001120000	        0.3356412869	        7.0284237726	       44.5968084316	       19.1722808681	        1.5515789474	        1.5515789474	        2.7278208441	       -6.0122612177	      145.5048425866	        5.0000000000	      147.4000000000	       -2.6085000000	       -0.0300000000	        1.7390000000	       -0.0000000000	       -0.0000000000	        0.0000000000	        0.0000000000	        0.0000000000	        0.2608500000	       -0.1739000000	       -0.7825500000	        0.0000000000
        0.0002814158	        0.9999999377	        0.7499999377	        0.0001000000	      -28.2034262521	        7.2092260566	        7.4000000000	       34.0000021171	        1.0900000056	        7.5000004138	      104.9900445453	       71.2400424032	        0.0005770032	        2.5000000000	       10.0000013819	      139.9867376827	       94.9867310905	        0.0001114809	        0.3356412588	        7.0284243561	       44.5968121343	       19.1722842118	        1.5517956910	        1.5515791804	        2.7278210934	       -6.0122605655	      145.5048425866	        5.0000000100	      147.4000000099	       -2.6085924436	       -0.6791760311	        1.7390616291	        0.0881804630	    -2122.4914552592	    -2122.8943795025	        0.7816196035	       -0.0265590808	        0.3491129387	    -2122.6656136410	    -2123.7795797956	        0.0000000000
        0.0979588751	        0.9903100634	        0.7403100634	        0.0000990310	      -28.8318769365	        7.2083849285	        7.4000000154	       34.3326815061	        1.0908806275	        7.5000987293	      101.6091100684	       67.9030674344	        0.0003383333	        2.5000000000	       10.1310236073	      137.2520989348	       91.7224697983	        0.0000650644	        0.3312647956	        7.1204189837	       45.1805371505	       19.7045952080	        1.6070217281	        1.5545871978	        2.7673364802	       -6.0038492850	      145.5048411766	        5.0000033424	      147.4000019186	       -2.6718541184	       -0.0844930514	        1.7812360790	        0.0317185197	    -2041.8704640897	    -1993.9946184376	       47.9108057276	       -9.5606443508	        0.3526098851	    -2042.1760267120	    -2042.6962204101	        0.0000000000
        0.1889107091	        0.9739756351	        0.7239756351	        0.0000973976	      -29.2919419213	        7.2066167935	        7.4000000447	       34.9084707834	        1.0924047756	        7.5001049248	       98.5485723474	       64.9356886212	        0.0003126820	        2.5000000000	       10.3596095803	      136.1213935606	       89.6931961204	        0.0000597634	        0.3238884833	        7.2810707629	       46.1999060524	       20.6592376905	        1.6433799759	        1.5609293661	        2.8373900437	       -5.9861679350	      145.5048387999	        5.0000063213	      147.4000024783	       -2.7300391102	       -0.0600115048	        1.8200260735	       -0.0236431104	    -1998.2862267325	    -1924.6901538831	       73.6341405270	      -11.4941723166	        0.3550716599	    -1998.6782860345	    -1999.1876404738	        0.0000000000
        0.2796567908	        0.9563083719	        0.7063083719	        0.0000956308	      -29.7303114011	        7.2042018126	        7.4000000810	       35.5533852862	        1.0941119022	        7.5000270420	       95.5546060246	       62.0689355789	        0.0003076045	        2.5000000000	       10.6186296807	      135.2873756288	       87.8779553587	        0.0000583994	        0.3159138140	        7.4631960187	       47.3555286224	       21.7807252209	        1.6773262662	        1.5696335335	        2.9184179494	       -5.9620181260	      145.5048362293	        5.0000092269	      147.4000027409	       -2.7877738192	       -0.0544413765	        1.8585158795	       -0.0792565669	    -1961.2610528104	    -1867.1222503814	       94.2196311644	      -11.7374174355	        0.3573952314	    -1961.7317694646	    -1962.2507629650	        0.0000000000
        0.3717741493	        0.9384202816	        0.6884202816	        0.0000938420	      -30.1810336458	        7.2011775152	        7.4000001230	       36.2311009981	        1.0959058556	        7.4998621879	       92.5718559406	       59.2454422476	        0.0003082451	        2.5000000000	       10.8943074293	      134.4699719338	       86.0599895649	        0.0000581138	        0.3078456457	        7.6571216314	       48.5860269075	       23.0217284365	        1.7127587823	        1.5806022936	        3.0065773465	       -5.9317751523	      145.5048336266	        5.0000121203	      147.4000029277	       -2.8459674382	       -0.0530633067	        1.8973116255	       -0.1353183875	    -1924.2842818505	    -1811.1923856246	      113.2247190451	      -11.5302197528	        0.3597894215	    -1924.8334411839	    -1925.3667487001	        0.0000000000
        0.4658210825	        0.9206021336	        0.6706021336	        0.0000920602	      -30.6548489528	        7.1975345798	        7.4000001708	       36.9323497750	        1.0977621023	        7.4996057041	       89.5858674777	       56.4512332082	        0.0003108471	        2.5000000000	       11.1833907601	      133.5901915535	       84.1799188873	        0.0000581860	        0.2998178649	        7.8605742000	       49.8769757061	       24.3768480265	        1.7510114650	        1.5939165902	        3.1011536061	       -5.8953457982	      145.5048310343	        5.0000150172	      147.4000030955	       -2.9046958084	       -0.0529745958	        1.9364638723	       -0.1916935816	    -1885.5481405838	    -1754.0899567147	      131.6459760088	      -11.1957607527	        0.3623209392	    -1886.1774350284	    -1886.7264699876	        0.0000000000
        0.5621142482	        0.9029353811	        0.6529353811	        0.0000902935	      -31.1565038036	        7.1932479956	        7.4000002244	       37.6549648092	        1.0996749068	        7.4992525326	       86.5925962121	       53.6835750032	        0.0003142243	        2.5000000000	       11.4854436592	      132.6204686096	       82.2188176010	        0.0000583889	        0.2918697797	        8.0732611252	       51.2265184157	       25.8530526107	        1.7927769769	        1.6097270009	        3.2023060086	       -5.8524799561	      145.5048284640	        5.0000179221	      147.4000032591	       -2.9637545003	       -0.0533339760	        1.9758363336	       -0.2480958289	    -1844.4501949507	    -1694.8745624097	      149.8192943084	      -10.8177424076	        0.3650200222	    -1845.1617200821	    -1845.7268501893	        0.0000000000
        0.6609342349	        0.8854484851	        0.6354484851	        0.0000885448	      -31.6892946609	        7.1882827588	        7.4000002841	       38.3986201046	        1.1016434062	        7.4987974288	       83.5906461662	       50.9429107886	        0.0003179867	        2.5000000000	       11.8007951945	      131.5459051859	       80.1684353434	        0.0000586476	        0.2840167287	        8.2954290606	       52.6362201030	       27.4616866811	        1.8386289166	        1.6282366471	        3.3104600715	       -5.8028275884	      145.5048259200	        5.0000208366	      147.4000034222	       -3.0227913368	       -0.0538707018	        2.0151942245	       -0.3041231023	    -1800.6972613262	    -1633.0961653212	      167.9005438323	      -10.4159921520	        0.3679083126	    -1801.4930697883	    -1802.0742126112	        0.0000000000
        0.7625870340	        0.8681582794	        0.6181582794	        0.0000868158	      -32.2563074895	        7.1825940106	        7.4000003504	       39.1633654895	        1.1036677322	        7.4982350209	       80.5792060231	       48.2307882860	        0.0003220119	        2.5000000000	       12.1299597052	      130.3536791542	       78.0233637421	        0.0000589383	        0.2762687396	        8.5274564863	       54.1084823044	       29.2161984347	        1.8891777606	        1.6497051865	        3.4261328078	       -5.7459401063	      145.5048234048	        5.0000237616	      147.4000035857	       -3.0813249164	       -0.0544980949	        2.0542166109	       -0.3592497913	    -1754.0664086287	    -1568.4294213935	      185.9914197458	       -9.9942320621	        0.3710065488	    -1754.9483299777	    -1755.5451163588	        0.0000000000
        0.8674272869	        0.8510805066	        0.6010805066	        0.0000851081	      -32.8607276506	        7.1761258067	        7.4000004237	       39.9492171859	        1.1057479278	        7.4975599061	       77.5575234948	       45.5493987421	        0.0003262685	        2.5000000000	       12.4734703989	      129.0301759016	       75.7791980336	        0.0000592543	        0.2686352520	        8.7697367853	       55.6458011160	       31.1315284029	        1.9451248835	        1.6744593814	        3.5498817314	       -5.6812580672	      145.5048209206	        5.0000266979	      147.4000037499	       -3.1387249559	       -0.0551913432	        2.0924833039	       -0.4128003415	    -1704.3458975337	    -1500.5847002147	      204.1690759849	       -9.5525441926	        0.3743365605	    -1705.3154048783	    -1705.9271969511	        0.0000000000
        0.9758733999	        0.8342324121	        0.5842324121	        0.0000834232	      -33.5058830999	        7.1688093567	        7.4000005047	       40.7560285465	        1.1078836050	        7.4967668318	       74.5247764226	       42.9015409048	        0.0003307562	        2.5000000000	       12.8318228793	      127.5601539478	       73.4323190904	        0.0000595950	        0.2611262454	        9.0226384581	       57.2505147503	       33.2239416203	        2.0072906009	        1.7029078520	        3.6822867030	       -5.6080935670	      145.5048184699	        5.0000296464	      147.4000039143	       -3.1941747811	       -0.0559465308	        2.1294498540	       -0.4639105493	    -1651.3245130541	    -1429.2937947838	      222.4896225591	       -9.0904321684	        0.3779216282	    -1652.3825732575	    -1653.0084237650	        0.0000000000
        1.0884232914	        0.8176334504	        0.5676334504	        0.0000817633	      -34.1951927607	        7.1605608350	        7.4000005941	       41.5834259022	        1.1100737744	        7.4958509996	       71.4800384110	       40.2907023137	        0.0003354852	        2.5000000000	       13.2054426925	      125.9264026113	       70.9801409434	        0.0000599615	        0.2537525082	        9.2864820171	       58.9246569244	       35.5109295682	        2.0766372413	        1.7355605069	        3.8239377950	       -5.5256083500	      145.5048160556	        5.0000326082	      147.4000040785	       -3.2466196886	       -0.0567668126	        2.1644131257	       -0.5114764593	    -1594.7942983563	    -1354.3170516580	      240.9836489917	       -8.6075658253	        0.3817862606	    -1595.9411826846	    -1596.5797620084	        0.0000000000
        1.2056738181	        0.8013055869	        0.5513055869	        0.0000801306	      -34.9320490289	        7.1512787252	        7.4000006929	       42.4307537070	        1.1123167010	        7.4948085572	       68.4222648435	       37.7211857830	        0.0003404691	        2.5000000000	       13.5946537381	      124.1095074574	       68.4215554535	        0.0000603558	        0.2465257150	        9.5615171606	       60.6698120263	       38.0110580767	        2.1542919225	        1.7730540207	        3.9754212055	       -5.4327872515	      145.5048136808	        5.0000355843	      147.4000042413	       -3.2946998086	       -0.0576577359	        2.1964665391	       -0.5540886910	    -1534.5584550737	    -1275.4597440110	      259.6476763300	       -8.1040181082	        0.3859555629	    -1535.7934953826	    -1536.4429919296	        0.0000000000
        1.3283457494	        0.7852735205	        0.5352735205	        0.0000785274	      -35.7196191915	        7.1408406530	        7.4000008021	       43.2970157671	        1.1146097476	        7.4936373801	       65.3502830111	       35.1982672409	        0.0003457224	        2.5000000000	       13.9996414779	      122.0876439881	       65.7575349624	        0.0000607802	        0.2394584626	        9.8478957528	       62.4869436665	       40.7437028958	        2.2415682778	        1.8161852703	        4.1373003856	       -5.3284065296	      145.5048113492	        5.0000385761	      147.4000044011	       -3.3366646904	       -0.0586255304	        2.2244431270	       -0.5899494661	    -1470.4431709576	    -1192.5963513724	      278.4316190366	       -7.5804176820	        0.3904540855	    -1471.7644466152	    -1472.4224385480	        0.0000000000
