Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.0000000000	        1.0000000000	        0.7500000000	       10.0000000000	      -11.7322637767	        7.2092261218	        7.4000000000	       34.0000000000	        1.0900000000	        7.5000000000	      105.0000000000	       71.2500000000	        0.0005800000	        2.5000000000	       10.0000000000	      140.0000000000	       95.0000000000	        0.0001120000	        0.3252580111	        7.0284237726	       44.6071917074	       19.1722808681	        1.5515789474	        1.5515789474	        2.7278208441	       -6.0122612177	      145.5048425866	        5.0000000000	      147.4000000000	       -2.6085000000	       -0.0300000000	        1.7390000000	       -0.0000000000	       -0.0000000000	        0.0000000000	        0.0000000000	        0.0000000000	        0.2608500000	       -0.1739000000	       -0.7825500000	        0.0000000000
        0.0001396102	        1.0000000006	        0.7500000006	       10.0000000059	      -14.0578455129	        7.2092894684	        7.3999348834	       33.9999999800	        1.0899999999	        7.5000000159	      105.0000000103	       71.2499853922	        0.0021575946	        2.5000846891	       10.0000000134	      139.9999999037	       94.9999804483	        0.0004200616	        0.3252755119	        7.0284237671	       44.6071916724	       19.1722808364	        1.5515792839	        1.5511200621	        2.7278208417	       -6.0128946838	      145.5048425944	        4.9999999992	      147.4000016327	       -2.6085110284	       -5.7509360797	        1.7390073523	        0.0116965585	        0.0073874138	      -11.2277116004	    -1434.7362039066	        0.0005053978	        0.2725575813	       -0.1665199743	      -12.2267648228	        0.0000000000
        0.0594829477	        0.9996542081	        0.7496542081	        9.9965420813	      -75.4088287992	        7.2310477050	        7.3776524386	       34.0117609903	        1.0900311320	        7.5003726662	      104.7210462805	       71.0378749786	        0.5860858658	        2.5228646539	       10.0051098024	      139.6924677330	       94.7608566828	        0.1686212274	        0.3298397366	        7.0316657631	       44.6277675995	       19.1908642887	        1.5556835468	        1.4015375362	        2.7292059855	       -6.2304770503	      145.4992107996	        5.0308019939	      147.4179056237	       -2.6179391388	       -7.6677529417	        1.7452927592	        0.3905997652	     -294.0565607381	     -156.1258026008	     -917.9340558321	       -0.6082952460	        0.6603021934	     -294.2452875854	     -309.7927993604	        0.0000000000
        0.1444086432	        0.9986628788	        0.7486628788	        9.9866287877	      -75.2094934376	        7.2489376857	        7.3594604060	       34.0455229915	        1.0901205020	        7.5009230045	      104.3057408973	       70.9150888238	        1.2003392984	        2.5261145377	       10.0190929952	      139.3227096668	       94.7223254080	        0.3525896255	        0.3300725098	        7.0409766250	       44.6868607076	       19.2443062692	        1.5562889751	        1.2898010327	        2.7331870696	       -6.4093768572	      145.4831241314	        5.0763903384	      147.4153107321	       -2.6193572777	       -7.7086468099	        1.7462381851	        0.3873687949	     -292.9181446600	      -32.2697572097	     -458.4695548223	       -0.7181004778	        0.6587713306	     -293.1138286526	     -308.7453259458	        0.0000000000
        0.2804651774	        0.9971640700	        0.7471640700	        9.9716406997	      -74.8492621845	        7.2597924309	        7.3485258582	       34.0966958435	        1.0902559596	        7.5017900922	      103.6425808577	       70.9432813927	        1.8522196346	        2.5055710197	       10.0403517697	      138.7146210890	       94.9500708662	        0.5480385525	        0.3251607544	        7.0551008022	       44.7765024110	       19.3255772317	        1.5522645662	        1.2266860526	        2.7392347428	       -6.5179243086	      145.4588018789	        5.1492235100	      147.3876305669	       -2.6277694958	       -7.7103818509	        1.7518463305	        0.3749976256	     -292.0768832421	       39.2258450757	     -101.1851433057	       -0.6110831832	        0.6560303955	     -292.2828804929	     -307.9234560937	        0.0000000000
        0.5070930324	        0.9948463639	        0.7448463639	        9.9484636391	      -74.2312676062	        7.2591277906	        7.3494187010	       34.1761313440	        1.0904662300	        7.5031282596	      102.5412658490	       71.0947528153	        2.4880441033	        2.4779530331	       10.0733904643	      137.6676732517	       95.4488821594	        0.7387186500	        0.3184781063	        7.0770538528	       44.9158315080	       19.4523795102	        1.5435786003	        1.2310931375	        2.7486550074	       -6.5112779060	      145.4211990580	        5.2702500070	      147.3328519222	       -2.6654523897	       -7.6781160897	        1.7769682598	        0.3303745333	     -291.0535890059	       27.5074678217	       71.1736922275	       -0.6571880366	        0.6513564668	     -291.2909340816	     -306.8842422753	        0.0000000000
        0.8239606855	        0.9907707358	        0.7407707358	        9.9077073584	      -73.4351880816	        7.2504788174	        7.3586215996	       34.3167180560	        1.0908383713	        7.5046719363	      101.0090758709	       71.0656651790	        2.9966408165	        2.4921782197	       10.1308968796	      136.3567308799	       95.9347632682	        0.8912413406	        0.3196091755	        7.1159909192	       45.1629528029	       19.6787352366	        1.5350992211	        1.2827522412	        2.7654244448	       -6.4247881742	      145.3551888342	        5.4380667650	      147.2693803713	       -2.7330034041	       -7.6647190734	        1.8220022694	        0.2536997269	     -289.0665085209	      -39.0189169161	       86.5595715431	       -0.8885687611	        0.6452691934	     -289.3595784374	     -304.9547111779	        0.0000000000
        1.2002121391	        0.9844548969	        0.7344548969	        9.8445489694	      -72.6069498159	        7.2414770744	        7.3684005079	       34.5368793489	        1.0914211512	        7.5059785781	       99.2062082115	       70.6061076981	        3.3691635112	        2.5534020519	       10.2197951288	      135.0746092442	       96.1340280967	        1.0029349640	        0.3293172690	        7.1771838563	       45.5513250984	       20.0382461393	        1.5313736225	        1.3394405220	        2.7919371359	       -6.3347707444	      145.2530750050	        5.6344976200	      147.2171148550	       -2.8128740357	       -7.6888611392	        1.8752493572	        0.1639898607	     -285.8001344464	     -103.4372209505	       64.5973408177	       -1.1105108159	        0.6388004706	     -286.1624133342	     -301.8389301858	        0.0000000000
        1.6249605675	        0.9759932204	        0.7259932204	        9.7599322042	      -71.7855316028	        7.2341752285	        7.3766454901	       34.8363075570	        1.0922137553	        7.5067997133	       97.1984066617	       69.6933902515	        3.6437375068	        2.6335077868	       10.3400410667	      133.8833530784	       95.9973017536	        1.0852311789	        0.3418554132	        7.2608361638	       46.0822399434	       20.5372262305	        1.5331695051	        1.3882582455	        2.8284932709	       -6.2617522850	      145.1164829643	        5.8521844508	      147.1801356238	       -2.8974960977	       -7.7254435259	        1.9316640651	        0.0692585036	     -281.3469831035	     -150.5708679081	       45.6045791259	       -1.2657646950	        0.6322441435	     -281.7867098936	     -297.5711598714	        0.0000000000
        2.0964125873	        0.9656376376	        0.7156376376	        9.6563763763	      -70.9714908501	        7.2284236796	        7.3834791597	       35.2098951769	        1.0932026637	        7.5069537215	       95.0090416866	       68.3766286229	        3.8492270832	        2.7126516686	       10.4898810888	      132.7613818645	       95.5464400237	        1.1467879824	        0.3531615362	        7.3659035694	       46.7490696705	       21.1763790215	        1.5401631794	        1.4290765080	        2.8749193934	       -6.2042367961	      144.9495877991	        6.0885756315	      147.1571088509	       -2.9853259334	       -7.7567140979	        1.9902172889	       -0.0288752827	     -275.8539600250	     -181.6248058830	       32.6892612199	       -1.3591295637	        0.6256260373	     -276.3780416289	     -292.2609305475	        0.0000000000
